,ticker,ceo,website,industry_category,industry_group,sec_filings
546,CTWS,Eric W. Thornburg,www.ctwater.com,Utilities,Water Utilities,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CTWS&owner=exclude&action=getcompany
547,CTXS,Kirill Tatarinov,www.citrix.com,Computer Software & Services,Business Software & Services,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CTXS&owner=exclude&action=getcompany
548,CUB,Bradley H. Feldmann,www.cubic.com,Electronics,Scientific & Technical Instruments,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CUB&owner=exclude&action=getcompany
549,CUBE,Christopher P. Marr,www.cubesmart.com,Real Estate,REIT - Industrial,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CUBE&owner=exclude&action=getcompany
550,CUBI,Jay S. Sidhu,www.customersbank.com,Banking,Regional - Northeast Banks,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CUBI&owner=exclude&action=getcompany
551,CURO,N/A,N/A,nm,nm,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CURO&owner=exclude&action=getcompany
552,CUZ,Lawrence L. Gellerstedt,www.cousinsproperties.com,Real Estate,REIT - Diversified,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CUZ&owner=exclude&action=getcompany
553,CVA,Stephen J. Jones,www.covanta.com,Materials & Construction,Waste Management,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CVA&owner=exclude&action=getcompany
554,CVBF,Chris Myers,www.cbbank.com,Banking,Regional - Pacific Banks,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CVBF&owner=exclude&action=getcompany
555,CVCO,Joseph H. Stegmayer,www.cavco.com,Materials & Construction,Residential Construction,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CVCO&owner=exclude&action=getcompany
556,CVEO,Bradley J. Dodson,www.civeo.com,Diversified Services,Business Services,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CVEO&owner=exclude&action=getcompany
557,CVGW,Lecil E. Cole,www.calavo.com,Food & Beverage,Farm Products,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CVGW&owner=exclude&action=getcompany
558,CVI,John J. Lipinski,www.cvrenergy.com,Energy,Oil & Gas Refining & Marketing,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CVI&owner=exclude&action=getcompany
559,CVIA,N/A,N/A,nm,nm,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CVIA&owner=exclude&action=getcompany
560,CVLT,N. Robert Hammer,www.commvault.com,Computer Software & Services,Application Software,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CVLT&owner=exclude&action=getcompany
561,CVNA,nm,nm,Specialty Retail,Auto Dealerships,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CVNA&owner=exclude&action=getcompany
562,CVS,Larry J. Merlo,www.cvshealth.com,Health Services,Health Care Plans,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CVS&owner=exclude&action=getcompany
563,CVX,John S. Watson,www.chevron.com,Energy,Major Integrated Oil & Gas,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CVX&owner=exclude&action=getcompany
564,CW,David Charles Adams,www.curtisswright.com,Manufacturing,Diversified Machinery,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CW&owner=exclude&action=getcompany
565,CWH,Marcus Anthony Lemonis,www.campingworld.com,Real Estate,REIT - Office,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CWH&owner=exclude&action=getcompany
566,CWST,John W. Casella,www.casella.com,Materials & Construction,Waste Management,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CWST&owner=exclude&action=getcompany
567,CWT,Martin A. Kropelnicki,www.calwatergroup.com,Utilities,Water Utilities,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CWT&owner=exclude&action=getcompany
