,ticker,fund_aum,asset_class,focus,development_level,region,is_levered,options_available
1300,ROUS,88041745.0,Equity,Large Cap,Developed Markets,North America,0.0,0.0
1301,QVM,4409250.0,Equity,Broad Equity,Developed Markets,North America,0.0,0.0
1302,HYIH,3496508.0,Fixed Income,High Yield,Developed Markets,North America,0.0,0.0
1303,IGIH,9562024.0,Fixed Income,Investment Grade,Developed Markets,North America,0.0,0.0
1304,EMIH,8603025.0,Fixed Income,Broad Sovereign,Emerging Markets,Emerging Markets,0.0,0.0
1305,MEAR,54879000.0,Fixed Income,Broad Municipals,Developed Markets,North America,0.0,0.0
1306,EUSC,155489500.0,Equity,Small Cap,Developed Markets,Europe,0.0,1.0
1307,IBDK,591003000.0,Fixed Income,Investment Grade,Developed Markets,North America,0.0,0.0
1308,IBDM,662048000.0,Fixed Income,Investment Grade,Developed Markets,North America,0.0,0.0
1309,IBDN,429950700.0,Fixed Income,Investment Grade,Developed Markets,North America,0.0,0.0
1310,IBDO,373296000.0,Fixed Income,Investment Grade,Developed Markets,North America,0.0,0.0
1311,IBDP,236648220.0,Fixed Income,Investment Grade,Developed Markets,North America,0.0,0.0
1312,IBDQ,301576000.0,Fixed Income,Investment Grade,Developed Markets,North America,0.0,0.0
1313,HOML,4165000.0,Equity,Consumer Discretionary,Developed Markets,North America,1.0,0.0
1314,AFTY,7648936.0,Equity,Large Cap,Emerging Markets,Asia-Pacific,0.0,1.0
1315,SDEM,17186318.0,Equity,High Dividend Yield,Emerging Markets,Emerging Markets,0.0,0.0
1316,SRET,71930095.0,Real Estate,Real Estate,Blended Development,Global,0.0,0.0
1317,XT,2380279000.0,Equity,Technology,Blended Development,Global,0.0,1.0
1318,QED,3235522.0,Multi Asset,Long/Short,Blended Development,Global,0.0,0.0
1319,QLS,8868022.0,Multi Asset,Long/Short,Blended Development,Global,0.0,0.0
1320,ROGS,22190000.0,Equity,Small Cap,Blended Development,Global,0.0,0.0
1321,SGDJ,118416000.0,Equity,Basic Materials,Blended Development,Global,0.0,0.0
1322,XRLV,188153683.0,Equity,Large Cap,Developed Markets,North America,0.0,0.0
1323,FFTY,399532964.0,Equity,Broad Equity,Blended Development,Global,0.0,1.0
1324,CHAU,45937500.0,Equity,Large Cap,Emerging Markets,Asia-Pacific,1.0,1.0
