,0,1
494,ALG,TTC
495,ALG,SCX
496,ALG,SPY
497,ALGN,XLV
498,ALGN,SPY
499,ALGT,SKYW
500,ALGT,JBLU
501,ALGT,HA
502,ALGT,ALK
503,ALGT,LUV
504,ALGT,DAL
505,ALGT,AAL
506,ALGT,SAVE
507,ALGT,UAL
508,ALGT,SPY
509,ALK,SKYW
510,ALK,JBLU
511,ALK,HA
512,ALK,ALGT
513,ALK,LUV
514,ALK,DAL
515,ALK,AAL
516,ALK,UAL
517,ALK,SPY
518,ALKS,XLV
519,ALKS,SPY
520,ALL,SAFT
521,ALL,UNM
522,ALL,HMN
523,ALL,LNC
524,ALL,PGR
525,ALL,PRU
526,ALL,TRV
527,ALL,SPY
528,ALLE,BRC
529,ALLE,SWK
530,ALLE,CIX
531,ALLE,NL
532,ALLE,FBHS
533,ALLE,SPY
534,ALLY,NICK
535,ALLY,CPSS
536,ALLY,CACC
537,ALLY,DFS
538,ALLY,CIT
539,ALLY,RM
540,ALLY,SC
541,ALLY,SPY
542,ALNY,XLV
543,ALNY,SPY
544,ALRM,GIB
545,ALRM,VRNS
546,ALRM,XLK
547,ALRM,SPY
548,ALSN,SYPR
549,ALSN,SPAR
550,ALSN,NAV
551,ALSN,HON
552,ALSN,THO
553,ALSN,WGO
554,ALSN,MTOR
555,ALSN,CNHI
556,ALSN,SPY
557,ALTR,XLK
558,ALTR,SPY
559,ALV,MGA
560,ALV,GNTX
561,ALV,TM
562,ALV,LEA
563,ALV,APTV
564,ALV,VC
565,ALV,SPY
566,ALX,VNO
567,ALX,FR
568,ALX,IRT
569,ALX,SNH
570,ALX,SPY
571,ALXN,XLV
572,ALXN,SPY
573,AM,TCP
574,AM,EQM
575,AM,SMLP
576,AM,SPY
577,AMAG,XLV
578,AMAG,SPY
579,AMAT,ASYS
580,AMAT,KLAC
581,AMAT,LRCX
582,AMAT,SNPS
583,AMAT,ASML
584,AMAT,ACLS
585,AMAT,TER
586,AMAT,XLK
587,AMAT,SPY
588,AMBA,INTC
589,AMBA,QCOM
590,AMBA,NVDA
591,AMBA,TXN
592,AMBA,XLK
593,AMBA,SPY
594,AMBC,RDN
595,AMBC,STC
596,AMBC,UIHC
597,AMBC,SPY
598,AMC,RDI
599,AMC,MCS
600,AMC,CNK
601,AMC,SPY
602,AMCX,CMCSA
603,AMCX,DISCA
604,AMCX,DIS
605,AMCX,VIAB
606,AMCX,MSGN
607,AMCX,SPY
608,AMD,XLK
609,AMD,SPY
610,AME,BRKR
611,AME,A
612,AME,DHR
613,AME,EMR
614,AME,GE
615,AME,ROP
616,AME,TDY
617,AME,ESE
618,AME,SPY
619,AMED,LHCG
620,AMED,BIOS
621,AMED,NHC
622,AMED,CHE
623,AMED,XLV
624,AMED,SPY
625,AMG,WDR
626,AMG,EV
627,AMG,BEN
628,AMG,LM
629,AMG,BLK
630,AMG,WHG
631,AMG,AB
632,AMG,PZN
633,AMG,IVZ
634,AMG,GBL
635,AMG,SPY
636,AMGN,ALXN
637,AMGN,CELG
638,AMGN,GILD
639,AMGN,BIIB
640,AMGN,GSK
641,AMGN,BMY
642,AMGN,JNJ
643,AMGN,PFE
644,AMGN,ABBV
645,AMGN,XLV
646,AMGN,SPY
647,AMH,EQR
648,AMH,CPT
649,AMH,ESS
650,AMH,UDR
651,AMH,IRT
652,AMH,SPY
653,AMKR,XLK
654,AMKR,SPY
655,AMN,XLV
656,AMN,SPY
657,AMP,SEIC
658,AMP,TROW
659,AMP,AMG
660,AMP,FII
661,AMP,RJF
662,AMP,PFG
663,AMP,SPY
664,AMPH,SCYX
665,AMPH,AGRX
666,AMPH,XLV
667,AMPH,SPY
668,AMRC,ABM
669,AMRC,HON
670,AMRC,UTX
671,AMRC,EXC
672,AMRC,CVX
673,AMRC,KBR
674,AMRC,SPY
675,AMSF,ANAT
676,AMSF,ACGL
677,AMSF,MKL
678,AMSF,EIG
679,AMSF,TRV
680,AMSF,SPY
681,AMT,DRE
682,AMT,CTL
683,AMT,PCH
684,AMT,PW
685,AMT,TDS
686,AMT,LAND
687,AMT,CTT
688,AMT,CCI
689,AMT,SPY
690,AMTD,ETFC
691,AMTD,MS
692,AMTD,BAC
693,AMTD,RJF
694,AMTD,SCHW
695,AMTD,SF
696,AMTD,LPLA
697,AMTD,IBKR
698,AMTD,SPY
699,AMWD,PATK
700,AMWD,MAS
701,AMWD,FBHS
702,AMWD,CSTE
703,AMWD,SPY
704,AMZN,MSFT
705,AMZN,COST
706,AMZN,EBAY
707,AMZN,OSTK
708,AMZN,MELI
709,AMZN,BKS
710,AMZN,WMT
711,AMZN,CBS
712,AMZN,GOOGL
713,AMZN,SPY
714,AN,CPRT
715,AN,RUSHA
716,AN,LAD
717,AN,GPI
718,AN,SAH
719,AN,ABG
720,AN,KMX
721,AN,PAG
722,AN,SPY
723,ANAB,MNTA
724,ANAB,MLNT
725,ANAB,XLV
726,ANAB,SPY
727,ANAT,AFG
728,ANAT,WRB
729,ANAT,ORI
730,ANAT,THG
731,ANAT,UFCS
732,ANAT,SPY
733,ANDE,JCTCF
734,ANDE,ALCO
735,ANDE,UVV
736,ANDE,WMT
737,ANDE,BG
738,ANDE,MOS
739,ANDE,SPY
740,ANDX,GEL
741,ANDX,MMP
742,ANDX,HEP
743,ANDX,NS
744,ANDX,SEMG
745,ANDX,BKEP
746,ANDX,MPLX
747,ANDX,SPY
748,ANET,CSCO
749,ANET,MSFT
750,ANET,SILC
751,ANET,JCS
752,ANET,LTRX
753,ANET,JNPR
754,ANET,HPQ
755,ANET,XLK
756,ANET,SPY
757,ANF,URBN
758,ANF,ROST
759,ANF,ZUMZ
760,ANF,AEO
761,ANF,BKE
762,ANF,GPS
763,ANF,TJX
764,ANF,EXPR
765,ANF,TLYS
766,ANF,SPY
767,ANGI,XLK
768,ANGI,SPY
769,ANGO,XLV
770,ANGO,SPY
771,ANIK,XLV
772,ANIK,SPY
773,ANIP,XLV
774,ANIP,SPY
775,ANSS,XLK
776,ANSS,SPY
777,ANTM,XLV
778,ANTM,SPY
779,AOBC,GD
780,AOBC,NPK
781,AOBC,RGR
782,AOBC,SPY
783,AON,ACGL
784,AON,MMC
785,AON,AXS
786,AON,WLTW
787,AON,SPY
788,AOS,AAON
789,AOS,FELE
790,AOS,LII
791,AOS,LXU
792,AOS,RBC
793,AOS,CUO
794,AOS,AMSC
795,AOS,BWXT
796,AOS,SPY
797,APA,CHK
798,APA,PXD
799,APA,DVN
800,APA,APC
801,APA,OXY
802,APA,EOG
803,APA,CVX
804,APA,MRO
805,APA,COP
806,APA,NBL
807,APA,SPY
808,APAM,GROW
809,APAM,VRTS
810,APAM,WDR
811,APAM,EV
812,APAM,BEN
813,APAM,LM
814,APAM,WETF
815,APAM,MN
816,APAM,LPLA
817,APAM,SPY
818,APC,CHK
819,APC,XOM
820,APC,DVN
821,APC,MUR
822,APC,OXY
823,APC,CVX
824,APC,MRO
825,APC,COP
826,APC,HES
827,APC,SPY
828,APD,SPY
829,APH,XLK
830,APH,SPY
831,APLE,NYMT
832,APLE,O
833,APLE,NTP
834,APLE,SPY
835,APLS,MCK
836,APLS,XLV
837,APLS,SPY
838,APO,SPY
839,APOG,LBY
840,APOG,CRH
841,APOG,VMI
842,APOG,IBP
843,APOG,AA
844,APOG,SPY
845,APPF,QLYS
846,APPF,VEEV
847,APPF,QTWO
848,APPF,XLK
849,APPF,SPY
850,APPN,XLK
851,APPN,SPY
852,APTS,EQR
853,APTS,CPT
854,APTS,MAA
855,APTS,ESS
856,APTS,BRT
857,APTS,UDR
858,APTS,IRT
859,APTS,SPY
860,APTV,MGA
861,APTV,GNTX
862,APTV,ALV
863,APTV,VC
864,APTV,SPY
865,APU,FGP
866,APU,EPD
867,APU,UGI
868,APU,UGP
869,APU,SGU
870,APU,SPH
871,APU,XLU
872,APU,SPY
873,APY,SPY
874,AQ,XLK
875,AQ,SPY
876,AR,COG
877,AR,RRC
878,AR,EQT
879,AR,SPY
880,ARA,FMS
881,ARA,DVA
882,ARA,XLV
883,ARA,SPY
884,ARCB,JBHT
885,ARCB,FWRD
886,ARCB,ODFL
887,ARCB,ULH
888,ARCB,SAIA
889,ARCB,FDX
890,ARCB,RRTS
891,ARCB,YRCW
892,ARCB,SPY
893,ARCH,SPY
894,ARE,ROIC
895,ARE,VNO
896,ARE,CHSP
897,ARE,DOC
898,ARE,SPY
899,ARES,SPY
900,ARGO,SIGI
901,ARGO,ACGL
902,ARGO,GBLI
903,ARGO,SPY
904,ARI,NYMT
905,ARI,O
906,ARI,NTP
907,ARI,SPY
908,ARLP,HNRG
909,ARLP,NRP
910,ARLP,CNX
911,ARLP,SPY
912,ARMK,CTAS
913,ARMK,GE
914,ARMK,UNF
915,ARMK,SPY
916,ARNA,XLV
917,ARNA,SPY
918,ARNC,KALU
919,ARNC,APWC
920,ARNC,SPY
921,AROC,SPN
922,AROC,SLB
923,AROC,HON
924,AROC,OII
925,AROC,TTI
926,AROC,NGS
927,AROC,FET
928,AROC,BHGE
929,AROC,SPY
930,AROW,BDGE
931,AROW,FISI
932,AROW,FLIC
933,AROW,NBTB
934,AROW,SBNY
935,AROW,TMP
936,AROW,CBU
937,AROW,FNB
938,AROW,EVBN
939,AROW,SPY
940,ARR,NYMT
941,ARR,DX
942,ARR,CMO
943,ARR,IVR
944,ARR,MITT
945,ARR,SPY
946,ARRY,AMGN
947,ARRY,CELG
948,ARRY,AZN
949,ARRY,NVS
950,ARRY,LLY
951,ARRY,XLV
952,ARRY,SPY
953,ARW,XLK
954,ARW,SPY
955,ARWR,XLV
956,ARWR,SPY
957,ASB,PEBO
958,ASB,THFF
959,ASB,HTLF
960,ASB,WTFC
961,ASB,HBAN
962,ASB,FBIZ
963,ASB,WFC
964,ASB,TCF
965,ASB,SGB
966,ASB,ONB
967,ASB,SPY
968,ASGN,SPY
969,ASH,MNRO
970,ASH,AZO
971,ASH,CMI
972,ASH,GPC
973,ASH,WMT
974,ASH,HUN
975,ASH,GT
976,ASH,DWDP
977,ASH,SPY
978,ASIX,POL
979,ASIX,SPY
980,ASNA,CHS
981,ASNA,CATO
982,ASNA,LB
983,ASNA,SPY
984,ASPS,ATAX
985,ASPS,WD
986,ASPS,LADR
987,ASPS,SPY
988,ASTE,CMCO
989,ASTE,GENC
990,ASTE,TAYD
991,ASTE,NOV
992,ASTE,TEX
993,ASTE,CAT
994,ASTE,FET
995,ASTE,MTW
996,ASTE,SPY
997,ATGE,CECO
998,ATGE,LINC
999,ATGE,APEI
1000,ATGE,LOPE
1001,ATGE,NAUH
1002,ATGE,SPY
1003,ATI,USAP
1004,ATI,HAYN
1005,ATI,AKS
1006,ATI,CRS
1007,ATI,KMT
1008,ATI,VMI
1009,ATI,FRD
1010,ATI,SPY
1011,ATKR,NOVT
1012,ATKR,SPY
1013,ATNI,ALSK
1014,ATNI,CMCSA
1015,ATNI,CTL
1016,ATNI,VZ
1017,ATNI,TI
1018,ATNI,T
1019,ATNI,IDT
1020,ATNI,CBB
1021,ATNI,SPY
1022,ATNX,XLV
1023,ATNX,SPY
1024,ATO,XLU
1025,ATO,SPY
1026,ATR,SLGN
1027,ATR,SEE
1028,ATR,BLL
1029,ATR,BMS
1030,ATR,GEF
1031,ATR,OI
1032,ATR,SON
1033,ATR,PKG
1034,ATR,CCK
1035,ATR,BERY
1036,ATR,SPY
1037,ATRA,XLV
